,Xiaomi,Asus,Mac OS X,Huawei,Windows 10 S,ARM_GPU,Samsung_CPU,Fujitsu,Lenovo,Samsung,Google,Android,Toshiba,HP,Microsoft,Dell,Chuwi,LG,Inches,Vero,2 in 1 Convertible,Apple,Mediacom,macOS,Netbook,Chrome OS,Storage,Windows 10,Windows 7,Linux,No OS,MSI,AMD_CPU,Intel_CPU,Intel_GPU,AMD_GPU,Acer,Weight,Razer,Workstation,Ultrabook,Nvidia_GPU,Gaming,CpuFreq,Notebook,ScreenHeight,ScreenWidth,Ram,Price
1158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,1,0,2.5,0,0,0,0,0,2.3,1,1080,1920,8,42010.7472
1159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,1,0,0,0,0,0,512.0,1,0,0,0,0,0,1,1,0,0,1.48,0,0,0,0,0,2.6,0,1440,2560,8,108744.48
1160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.7,0,0,1,0,0,2.6,0,1080,1920,8,79866.72
1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,256.0,1,0,0,0,1,0,1,0,0,0,1.7,0,0,0,1,1,2.6,0,1080,1920,16,94252.32
1162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,0,0,2.62,0,0,0,1,1,2.8,0,1080,1920,8,47898.72
1163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,1,0,0,2.2,0,0,0,0,0,2.0,1,768,1366,8,24455.52
1164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,500.0,0,0,0,1,0,0,1,1,0,0,2.1,0,0,0,0,0,2.3,1,768,1366,4,25414.0272
1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,0,0,0,2.62,0,0,0,1,1,2.8,0,2160,3840,8,79813.44
1166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.95,0,0,0,0,0,2.5,1,1080,1920,8,74059.2
1167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,0,0,2.2,0,0,0,1,0,2.0,1,1080,1920,4,24935.04
1168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.0,0,0,0,0,0,0,0,32.0,1,0,0,0,0,0,1,1,0,0,1.44,0,0,0,0,0,1.6,1,768,1366,2,13266.72
1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,1,0,1,0,0,0,2.2,0,0,0,1,1,2.7,0,1080,1920,8,44701.92
1170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.96,0,0,0,0,0,2.5,1,1080,1920,8,36177.12
